County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Autauga County, Alabama",2009,49584,24057,25527,3421,3570,4413,4016,2727,2876,3025,3520,4363,3967,3223,2628,2430,1983,1438,893,645,496,
"Baldwin County, Alabama",2009,171997,84263,87734,10664,10664,11696,11008,9460,9804,9632,10836,12384,13072,12212,11180,10664,8600,7224,5848,3956,2924,
"Barbour County, Alabama",2009,29663,15687,13976,1839,1631,2017,2165,2225,1958,1987,2136,2195,2076,1987,2017,1542,1187,860,920,415,534,
"Bibb County, Alabama",2009,21464,11164,10300,1288,1417,1502,1331,1460,1202,1395,1739,1867,1696,1438,1223,1159,1116,451,537,537,129,
"Blount County, Alabama",2009,56804,28216,28588,3749,3522,4317,3635,3181,3579,3522,4260,4203,4147,3976,3465,3408,2386,2272,1704,966,625,
"Bullock County, Alabama",2009,10917,6165,4752,786,480,895,906,731,819,459,808,928,841,862,633,513,349,262,164,153,317,
"Butler County, Alabama",2009,20189,9517,10672,1393,1393,1332,1393,1312,1232,1050,1252,1131,1454,1514,1332,1171,828,767,787,464,424,
"Calhoun County, Alabama",2009,112969,53981,58988,7456,7682,6778,7456,7569,8360,6778,6665,7908,8134,8134,7569,5874,4632,4180,3389,2485,1920,
"Chambers County, Alabama",2009,34704,16425,18279,2186,2429,2117,2152,1909,2221,2152,2395,2152,2464,2499,2395,2013,1631,1249,1215,902,659,
"Cherokee County, Alabama",2009,24427,11996,12431,1221,1319,1612,1392,1124,1343,1490,1514,1710,1832,1930,2150,1539,1319,1197,611,611,537,
"Chilton County, Alabama",2009,42272,20933,21339,2790,2790,3044,2917,2536,2917,2874,2959,3213,3086,2874,2452,2410,1733,1480,972,719,592,
"Choctaw County, Alabama",2009,14229,6690,7539,840,953,953,939,783,711,583,711,1266,1067,1081,968,982,655,640,427,413,242,
"Clarke County, Alabama",2009,26438,12583,13855,1692,1745,2221,2221,1718,925,1454,1771,1798,2115,1718,1481,1586,1137,1084,793,423,555,
"Clay County, Alabama",2009,13769,6704,7065,744,881,881,744,633,950,716,991,978,1033,964,909,592,771,441,358,509,675,
"Cleburne County, Alabama",2009,14579,7320,7259,918,933,918,889,846,933,846,991,1137,1108,1035,1064,729,860,452,452,190,277,
"Coffee County, Alabama",2009,46802,22707,24095,3089,2995,3229,3183,2902,3604,3089,3276,3089,3183,3089,2995,2387,1825,1778,1264,983,889,
"Colbert County, Alabama",2009,54546,26111,28435,3055,3655,3218,3709,3055,3382,3109,3545,3818,4200,4036,3600,3273,2618,2127,1855,1255,1036,
"Conecuh County, Alabama",2009,13114,6432,6682,826,787,931,1246,538,538,629,721,970,944,1010,1115,669,603,538,341,433,275,
"Coosa County, Alabama",2009,10777,5467,5310,517,560,711,614,636,550,571,550,959,830,916,819,733,657,410,226,259,237,
"Covington County, Alabama",2009,36688,17730,18958,2348,2091,2458,2385,2128,2091,1871,2055,2752,2568,2605,2165,2348,1981,1614,1284,1064,807,
"Crenshaw County, Alabama",2009,13687,6518,7169,835,917,890,1027,630,821,780,1013,739,972,999,944,780,684,561,370,424,287,
"Cullman County, Alabama",2009,80630,39882,40748,5080,5402,5160,5160,4757,5563,5160,5160,5725,5967,5483,5322,4354,3709,3145,2419,1693,1451,
"Dale County, Alabama",2009,48233,23797,24436,3714,3232,3232,3617,3280,3859,3232,3135,2990,3280,3135,2653,2653,2074,1399,1158,820,723,
"Dallas County, Alabama",2009,42748,19546,23202,3420,3292,2950,3292,2864,2479,2223,2308,2779,3163,3078,2522,2308,1753,1453,1197,983,769,
"DeKalb County, Alabama",2009,68183,33582,34601,5114,4568,4841,4296,3546,4841,4636,4364,4500,5046,4909,4159,3818,2932,2250,1977,1364,1023,
"Elmore County, Alabama",2009,76714,38793,37921,5063,5217,5140,5370,4833,5217,5447,5984,5754,5830,5447,4603,3989,2762,2225,1304,1074,1381,
"Escambia County, Alabama",2009,37561,19087,18474,2404,2254,2479,2554,2517,2629,2404,2667,2441,2855,2517,2404,1991,1578,1390,1052,639,751,
"Etowah County, Alabama",2009,103150,49448,53702,6498,7014,6395,6705,6086,6498,6395,6705,6911,7221,7427,6808,5983,4745,3610,3095,2579,2166,
"Fayette County, Alabama",2009,17651,8490,9161,936,1059,1289,1200,953,953,971,1341,918,1341,1341,1306,1041,988,688,494,494,353,
"Franklin County, Alabama",2009,30847,15364,15483,2314,2067,2036,1913,1882,2005,2128,2005,2283,2067,2036,1727,1727,1481,1049,956,679,524,
"Geneva County, Alabama",2009,25800,12531,13269,1471,1522,1677,1677,1522,1471,1367,1342,2064,1883,1961,1600,1806,1161,1264,774,568,645,
"Greene County, Alabama",2009,9112,4361,4751,611,638,711,674,510,565,383,337,765,620,811,528,583,428,228,273,219,228,
"Hale County, Alabama",2009,17994,9093,8901,1062,1080,1565,1547,1188,1098,1080,1188,1350,1368,1224,1080,810,648,540,558,288,342,
"Henry County, Alabama",2009,16580,8110,8470,1011,1111,1078,1293,995,613,746,1177,1161,1144,1210,1011,1260,763,597,580,431,415,
"Houston County, Alabama",2009,97091,46220,50871,6699,6796,6505,6408,5825,6311,6020,6311,6796,7088,6602,6214,4952,4175,3398,2913,1942,2039,
"Jackson County, Alabama",2009,52898,25754,27144,3121,3385,3385,3280,2962,3174,3438,3174,4073,3967,4020,3280,3597,2592,2222,1481,1164,688,
"Jefferson County, Alabama",2009,662212,313595,348617,45693,42382,43706,44368,44368,50328,45030,43706,45030,49004,47679,41057,31124,23840,19204,18542,14569,12582,
"Lamar County, Alabama",2009,14438,7061,7377,809,938,881,866,780,881,866,982,895,1097,1068,1054,823,736,664,462,318,347,
"Lauderdale County, Alabama",2009,88550,42113,46437,4782,5756,4870,5933,6021,6464,5224,5844,5667,6376,6287,5756,5047,4162,3542,2922,2391,1594,
"Lawrence County, Alabama",2009,34094,16797,17297,2012,2387,2080,2318,2080,2080,2080,2352,2966,2591,2387,2216,2114,1466,1057,818,511,511,
"Lee County, Alabama",2009,130669,64714,65955,7840,7971,8101,13590,24435,7448,7187,8755,7840,8101,7187,6272,4965,3528,2875,2221,1307,1176,
"Limestone County, Alabama",2009,74076,37422,36654,4667,4889,5185,4667,4148,5111,5037,5852,5926,5926,5259,4593,4000,2741,2148,1778,1037,1111,
"Lowndes County, Alabama",2009,12632,5862,6770,872,897,947,1036,821,720,556,707,985,973,935,745,707,543,417,278,291,164,
"Macon County, Alabama",2009,22304,10248,12056,1182,1138,1561,2565,3145,825,892,959,1383,1383,1450,1383,1093,1093,558,714,625,357,
"Madison County, Alabama",2009,314047,153350,160697,20099,21355,21355,23239,21669,21355,19157,21669,24496,26380,21983,17901,15074,11620,10364,7851,4711,3769,
"Marengo County, Alabama",2009,21210,10018,11192,1421,1082,1973,1654,1357,1039,976,1230,1591,1527,1548,1315,1294,1061,742,615,361,403,
"Marion County, Alabama",2009,29415,14523,14892,1735,1765,1706,1794,1588,1912,1588,1853,2177,2206,2030,1941,1824,1588,1324,1000,853,559,
"Marshall County, Alabama",2009,87925,43166,44759,7298,5979,6067,5715,4836,5803,5539,5451,6506,6331,5627,5715,4572,3957,2989,2286,1671,1583,
"Mobile County, Alabama",2009,405331,193903,211428,29589,28779,29589,29589,27968,29994,25941,24725,27563,29994,27968,25131,19456,14592,12160,9728,7701,6080,
"Monroe County, Alabama",2009,22790,11041,11749,1436,1504,1869,1755,1345,1162,1276,1345,1641,1709,1686,1367,1367,843,889,593,456,547,
"Montgomery County, Alabama",2009,224369,106825,117544,16379,15930,14584,17052,18623,17501,15033,14135,15257,15706,14584,12565,10097,7404,6058,5160,4263,3814,
"Morgan County, Alabama",2009,115197,56523,58674,7718,7833,7949,7488,6797,7142,7027,8064,8640,8870,8064,7142,6221,5069,3802,3226,2074,1843,
"Perry County, Alabama",2009,10689,4921,5768,812,855,727,1122,738,556,438,492,748,716,695,652,492,406,449,374,160,235,
"Pickens County, Alabama",2009,19528,9185,10343,1172,1152,1523,1347,1269,1094,976,1211,1289,1445,1406,1426,937,996,703,781,371,391,
"Pike County, Alabama",2009,30136,14298,15838,1959,1718,1899,3164,4038,1597,1416,1959,1627,1989,1808,1808,1356,1296,844,663,573,422,
"Randolph County, Alabama",2009,22504,11036,11468,1305,1328,1575,1620,1373,1305,1103,1575,1463,1620,1620,1733,1125,1080,878,765,698,293,
"Russell County, Alabama",2009,50029,23726,26303,3352,3202,3552,3302,3302,3902,3402,2602,3902,3652,3352,2852,2702,2051,1701,1351,901,901,
"St. Clair County, Alabama",2009,77585,38949,38636,4965,5121,5043,5198,4655,5353,5431,5121,6284,5819,5509,5121,4112,3646,2328,1940,1164,931,
"Shelby County, Alabama",2009,182996,89888,93108,13542,13359,13176,11712,10431,13176,14091,14457,14823,14457,13176,11346,8601,5673,4026,2928,2013,1830,
"Sumter County, Alabama",2009,13267,6018,7249,823,663,1207,1167,1194,836,637,690,796,955,955,849,531,451,438,438,252,371,
"Talladega County, Alabama",2009,80190,39214,40976,4972,5373,5132,5693,5132,5373,4811,5934,5132,5934,6014,5373,4330,3288,2807,1925,1844,1203,
"Tallapoosa County, Alabama",2009,40778,19568,21210,2447,2202,2895,2651,2406,2324,2161,2691,2569,2936,2936,2732,2732,2202,1590,1590,775,1019,
"Tuscaloosa County, Alabama",2009,178754,86117,92637,11440,11798,10725,15552,24668,11619,10368,11262,10725,11619,11977,10189,7329,5720,4648,3933,3218,2145,
"Walker County, Alabama",2009,68880,33260,35620,4339,4339,4408,4133,3788,4546,4202,4753,4684,5097,4822,4477,4408,3168,2686,2273,1446,1309,
"Washington County, Alabama",2009,17212,8498,8714,912,1153,1411,1274,1119,878,861,1205,1067,1377,1308,809,1256,637,740,430,258,482,
"Wilcox County, Alabama",2009,12552,5789,6763,879,828,1293,1117,728,690,640,778,879,690,891,828,602,640,251,364,238,213,
"Winston County, Alabama",2009,24190,11921,12269,1306,1113,2177,1572,1234,1330,1427,1476,1935,1887,1645,1572,1693,1137,1016,943,508,242,
"Aleutians East Borough, Alaska",2009,2959,1965,994,115,104,118,83,296,323,252,408,323,281,201,290,80,36,12,18,6,9,
"Aleutians West Census Area, Alaska",2009,5505,4124,1381,149,149,160,132,573,363,440,650,771,936,424,380,237,88,28,6,11,0,
"Anchorage Municipality, Alaska",2009,280389,143053,137336,21590,19627,19627,20468,26076,24674,19627,19347,20749,21870,20749,16543,10935,6729,4767,3645,1963,1963,
"Bethel Census Area, Alaska",2009,17151,9012,8139,1921,1612,1544,1784,1424,1252,1046,1081,1115,1115,943,909,515,292,274,206,69,51,
"Bristol Bay Borough, Alaska",2009,682,328,354,41,35,99,49,50,5,51,44,19,68,90,35,20,26,16,13,12,9,
"Denali Borough, Alaska",2009,1529,884,645,70,76,104,67,21,92,84,145,191,202,193,177,34,43,17,8,2,0,
"Dillingham Census Area, Alaska",2009,4946,2565,2381,420,391,500,519,361,302,252,302,381,341,366,292,163,129,104,74,30,20,
"Fairbanks North Star Borough, Alaska",2009,96843,51682,45161,7844,6779,6682,7844,11427,9297,6585,5714,6682,6876,6585,5326,3583,1937,1453,775,872,484,
"Haines Borough, Alaska",2009,2424,1236,1188,150,107,191,87,133,44,95,85,213,252,308,245,121,80,131,73,39,70,
"Hoonah-Angoon Census Area, Alaska",2009,2042,1067,975,100,100,143,123,47,153,131,102,165,161,194,251,98,65,94,61,33,22,
"Juneau City and Borough, Alaska",2009,30777,15605,15172,1847,1877,2124,2401,2308,2001,1970,1939,2739,2678,2708,2339,1631,862,431,523,185,215,
"Kenai Peninsula Borough, Alaska",2009,53052,27632,25420,3236,3448,3767,4244,3448,2812,2759,2971,4032,4775,5093,4350,2865,2016,1326,796,637,477,
"Ketchikan Gateway Borough, Alaska",2009,13132,6537,6595,906,959,827,867,919,867,709,749,1116,1195,1090,998,696,381,328,289,197,53,
"Kodiak Island Borough, Alaska",2009,13147,7075,6072,1091,1210,960,933,1196,841,749,763,1236,1104,907,881,526,355,223,66,39,79,
"Lake and Peninsula Borough, Alaska",2009,1399,649,750,140,133,173,152,105,52,62,35,80,101,155,90,36,24,22,18,11,7,
"Matanuska-Susitna Borough, Alaska",2009,82099,42629,39470,6075,5829,6732,7225,5665,5172,5172,5829,6322,7061,6650,5008,3366,2135,1642,985,657,493,
"Nome Census Area, Alaska",2009,9339,5014,4325,990,841,719,971,831,747,570,551,588,560,542,523,355,224,103,140,65,19,
"North Slope Borough, Alaska",2009,6716,3585,3131,725,571,584,725,564,584,329,329,470,551,437,349,242,101,60,40,34,20,
